Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean,Rolling_Std
,TSLA,TSLA,TSLA,TSLA,TSLA,,,
2015-07-01,17.94333267211914,18.174667358398438,17.856666564941406,18.073999404907227,31518000,,,
2015-07-02,18.667999267578125,18.829999923706055,18.220666885375977,18.68000030517578,107458500,0.04038639915454456,,
2015-07-06,18.648000717163086,18.779333114624023,18.420000076293945,18.591999053955078,61828500,-0.001071274437522196,,
2015-07-07,17.858667373657227,18.34666633605957,17.384666442871094,18.333332061767578,91576500,-0.04232804124569667,,
2015-07-08,16.997333526611328,17.386667251586914,16.95400047302246,17.288000106811523,93316500,-0.04823057784907436,,
2015-07-09,17.19466781616211,17.530000686645508,17.119333267211914,17.27199935913086,50011500,0.011609720385955313,,
2015-07-10,17.27666664123535,17.53333282470703,17.187999725341797,17.481332778930664,39163500,0.004768851945843755,,
2015-07-13,17.477333068847656,17.503332138061523,17.06999969482422,17.483333587646484,44404500,0.011614881028806812,,
2015-07-14,17.709999084472656,17.732667922973633,17.367332458496094,17.47333335876465,28614000,0.013312443878506386,,
2015-07-15,17.542667388916016,17.832666397094727,17.472000122070312,17.78266716003418,30324000,-0.009448430502932648,,
2015-07-16,17.778667449951172,17.81333351135254,17.54400062561035,17.614667892456055,24240000,0.013452917723576485,,
2015-07-17,18.310667037963867,18.369333267211914,17.883333206176758,18.166667938232422,75061500,0.029923479333326286,,
2015-07-20,18.817333221435547,19.110000610351562,18.16933250427246,18.333332061767578,74677500,0.027670547578698246,,
2015-07-21,17.784666061401367,18.233333587646484,17.770000457763672,18.003332138061523,91630500,-0.054878507378390284,,
2015-07-22,17.857999801635742,17.96266746520996,17.390666961669922,17.417999267578125,46575000,0.004123425201304931,,
2015-07-23,17.81333351135254,17.99333381652832,17.684667587280273,17.976667404174805,33408000,-0.0025011922264167596,,
2015-07-24,17.694000244140625,18.07266616821289,17.594667434692383,17.825332641601562,42547500,-0.0066990980175530845,,
2015-07-27,16.867332458496094,17.6286678314209,16.71933364868164,17.495332717895508,70413000,-0.046720231391331746,,
2015-07-28,17.654666900634766,17.69333267211914,16.78933334350586,17.049999237060547,58437000,0.04667806507496031,,
2015-07-29,17.58799934387207,17.859333038330078,17.46666717529297,17.618000030517578,41851500,-0.003776200204621105,17.774166679382326,0.5228127225935065
2015-07-30,17.785999298095703,17.79599952697754,17.474000930786133,17.512666702270508,30519000,0.011257673505236987,17.766300010681153,0.5213148812804712
