Date,Close,High,Low,Open,Volume
,BND,BND,BND,BND,BND
2015-07-01,60.816707611083984,60.9144332575889,60.764085226749074,60.79415597999899,5399300
2015-07-02,60.96708679199219,61.02722832922027,60.93701602337814,60.93701602337814,1060100
2015-07-06,61.177608489990234,61.222717534251856,61.057331087929136,61.222717534251856,2210700
2015-07-07,61.23774719238281,61.47078859106654,61.23774719238282,61.41065276055859,4183200
2015-07-08,61.41061019897461,61.46323259883291,61.3128787882296,61.37302031247092,1967800
2015-07-09,61.2076530456543,61.32793613158736,61.17758227417103,61.31289787813912,1670900
2015-07-10,60.921958923339844,61.01217119277921,60.85429828740772,60.906920677394766,2038300
2015-07-13,60.77913284301758,60.899415885914955,60.77161371898371,60.786651967051455,2846500
2015-07-14,60.891944885253906,60.94456732425663,60.86187410076439,60.891944885253906,1567700
2015-07-15,61.0648193359375,61.08737097895557,60.876881330236536,60.89943297325461,2631000
2015-07-16,61.0648193359375,61.102403495830025,60.929503742416294,60.94453625929076,1063100
2015-07-17,61.072322845458984,61.13246437405175,61.04225208116261,61.07984197038604,807900
2015-07-20,60.98966979980469,61.05733049783537,60.95208562126818,61.03477884363035,1026900
2015-07-21,61.10238265991211,61.139972542399256,60.96706711253352,60.98210535969271,1422900
2015-07-22,61.12491226196289,61.21512450616736,61.117398876502406,61.13243138283212,1624100
2015-07-23,61.26778793334961,61.29785870156641,61.10992070177086,61.155023986389764,1178400
2015-07-24,61.30537796020508,61.35048124492164,61.26778806599955,61.33544299307438,804300
2015-07-27,61.42569351196289,61.43321264256431,61.35051941219725,61.41066098617623,2022800
2015-07-28,61.32038497924805,61.38052649080465,61.31286585645091,61.350455735026344,1434700
2015-07-29,61.26778793334961,61.32792946978321,61.222684648730706,61.320410343875864,1020500
2015-07-30,61.290367126464844,61.32795703748614,61.22271216912471,61.252782950858716,788000
2015-07-31,61.50082015991211,61.51585840951197,61.433165242947986,61.47826852092407,1589100
2015-08-03,61.64323425292969,61.658297893712195,61.50010380270173,61.545300472336834,2085800
2015-08-04,61.43229675292969,61.60555445075121,61.41722736781431,61.590490812922305,1007300
2015-08-05,61.334327697753906,61.37199539158065,61.251463369161605,61.356926015136686,2097000
2015-08-06,61.37199020385742,61.43225620997271,61.33432251321471,61.349391888384865,1173000
2015-08-07,61.500091552734375,61.55282290590118,61.43229656178554,61.469958529883854,1773800
2015-08-10,61.37199020385742,61.477452840917834,61.33432251321471,61.45485452544527,1173300
2015-08-11,61.60554885864258,61.6884132273959,61.55281751009828,61.575415838433564,1424200
2015-08-12,61.58297348022461,61.79389895300669,61.56790983814936,61.71103455337258,1029700
2015-08-13,61.45489501953125,61.58295605644667,61.43229668916811,61.522690010620664,845500
2015-08-14,61.43229675292969,61.52269007447606,61.4021637299854,61.43229675292969,2279800
2015-08-17,61.54526138305664,61.60552740248505,61.51513412062638,61.575394392770846,821900
2015-08-18,61.43229675292969,61.515161129204834,61.40969267525663,61.46995872114518,1083900
2015-08-19,61.650699615478516,61.67330367427069,61.33431175976804,61.371979443806666,1356600
2015-08-20,61.703453063964844,61.748649698992644,61.650715993388154,61.67332005818525,1536900
2015-08-21,61.801387786865234,61.83904973774969,61.673326808747206,61.74865645779994,3459200
2015-08-24,61.78630447387695,62.09516343680445,61.71850952920459,61.9972354898502,4751800
2015-08-25,61.58297348022461,61.71103455337258,61.4699760491519,61.71103455337258,5325500
2015-08-26,61.319305419921875,61.57542751935625,61.2816377006935,61.424768137016855,2742500
2015-08-27,61.402156829833984,61.485021196797135,61.281624751601825,61.29669413502375,2671000
2015-08-28,61.43229675292969,61.57542142780693,61.4021637299854,61.53775945959143,2723900
2015-08-31,61.34939193725586,61.545247836362535,61.34185724966478,61.53018420846305,3103700
2015-09-01,61.498878479003906,61.55171882098328,61.4007423016384,61.438487871265956,2577700
2015-09-02,61.45360565185547,61.521540785255,61.393215027166804,61.438505116099826,1934700
2015-09-03,61.498878479003906,61.57436385909368,61.44603813702454,61.536618289466126,2503000
2015-09-04,61.64984893798828,61.67249397598804,61.506428444268,61.60455886198875,1213800
2015-09-08,61.498878479003906,61.536618289466126,61.45358840278311,61.536618289466126,1194600
