Model,MAE,RMSE,MAPE
NAIVE,62.969544036478936,77.96300862197108,24.08915703013891
ARIMA,74.80015970280107,81.17777642647054,32.68952566678022
LSTM,65.0814399043216,75.57475591582421,27.204776619856847
